benchmark,YalSAT-DDFW,TaSSAT-LiWeT,UBCSAT-DDFW,YalSAT-prob 
8e0dd5c191f74cd38e2d6b306a889cc9-driverlog1_ks99i.shuffled-as.sat05-4018.cnf.xz,0,0,0,0
0e5ffe8651c6d9c3cccc3f6cb72be39a-g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
650b00aee98d38255a4345f78d764ca9-partial-5-13-u.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ad9eb96bac59319fc2f7daffd1f961f8-AProVE07-21.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
6d12f7972e402769c45d151387122959-modgen-n200-m90860q08c40-11953.cnf.xz,2.34,1.25,1.5,1.48
7cf77d75ed1f2c6824a17931238418ec-clus-1200-4800-45-30-003.shuffled-as.sat03-1082.cnf.xz,0.52,0.1,0.31,0.02
9763443143040b8b262ea70aee4604e5-5-SATISFIABLE.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b5cab29563ae86ab38829f58a895a180-hwmcc10-timeframe-expansion-k45-pdtvisns3p02-tseitin.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
d421913def55cb5f7302ffe9918cc153-snw_16_8_preOpt_pre.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
11f7856b53db9263e48e81a61b0573fd-sted5_0x0-157.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
9343e7ea7807a515ffc5362e1635f9be-Schur_160_5_d25.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e823071e58960a155122139ab4d0f44a-vlsat2_51_824.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1fffafc9143815f74ec6628a983afe75-gensys-brn003.shuffled-as.sat05-2747.cnf.xz,0.07,0.06,0.05,0.66
db6c1678a8a5e9d2f647e9d73ec73125-ACG-15-10p0.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
f001110ef99563f14d7ee8c4a9a6ace4-ibm-2002-25r-k10.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0415acae197134f9d1cd7bea5ac3f2fd-jgiraldezlevy.2200.9086.08.40.136.cnf.xz,369.36,129.06,33.24,TIMEOUT
2dcc525ccb3eb88be9dcd4fbed1bab6c-satcoin-genesis-SAT-32.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
97f2d368a05228364b444ce71c1a5a24-sp5-21-15-una-stri-flat-noid.cnf.xz,430.03,70.85,412.05,7.54
f24dbbdcac17bcbaeb187c03e11bdf49-bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1de013d98cc407c5bbb1c08d05e03ab6-instance_n8_i9_pp.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
03ba29d5cb38d345357a74a7b5ccd759-20-100-lambda100-49_sat.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ff94599c5d0f280580a2f5e3ad78d452-mrpp_4x4#8_24.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
166a6b3d34c99e539a4f1e431d2181eb-term1_gr_rcs_w4.shuffled.cnf.xz,0,0,0.01,0.09
b200f76c46f507726073e8df431792f4-eqbpwtcl10spwtcl10.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
cfa562765bd1a658788f599fc9f6d84d-f8n.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3d0b118834cdf8e692a47ac623778b1d-combined-crypto1-wff-seed-132-wffvars-500-cryptocplx-31-overlap-2.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
66815f8c5c22b9e40e0ed692eb9c8aa1-mrpp_4x4#6_24.cnf.xz,885.03,42.26,1680.65,TIMEOUT
0a1043b4f34db8a3de2aef9e4a82a34b-instance_n3_i3_pp.cnf.xz,0.09,0.07,1.24,4.86
000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
386e2db4e4acc71a97cba0cefd0a7ac9-6pipe_6_ooo.shuffled-as.sat03-413.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
f74dd5b556c38fe5cfebc12c89bc2dab-AProVE11-06.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
a8c50e130aa5eb28d4b66b205a9d718a-mp1-blockpuzzle_9x9_s5_free3.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
6459a34b91aa3bc54a3c587579b1ac95-rovers4_v01a.renamed-as.sat05-3979.cnf.xz,0.01,0,0.01,0.01
7816bac482d94316c17bacc4299ebfcc-fdmus_b21_481.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
bc1a57d3db29650ab188fc14894b1881-manthey_single-ordered-initialized-w44-b8.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
23f834ff0b38f1ba21443c38e32c77d8-c7n.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0d6d8b5df5df77f1feaacc1fb58ebf9d-crafted_n10_d6_c2_num6.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
20b1b9f69fa22ad64883cbf85cacf071-hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin-sc2011.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
6d430915d17c1f4e62acc16117f6c0b5-T98.2.0.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b1654713158a777352b4bf00e6ffc820-mrpp_4x4#10_20.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
709d0994d0c356b339b051a8e62d998a-bv-term-small-rw_206.smt2.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8ac86d57bc54e2da562403d6faf5865c-urqh1c4x4.shuffled-as.sat03-1467.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3aeaa0869d41767acea0d37f4532eb55-partial-5-13-s.cnf.xz,TIMEOUT,176.88,TIMEOUT,TIMEOUT
3cff6c97a515aecfe46ba0f1256a3c11-shuffling-1-s1870372346-of-bench-sat04-423.used-as.sat04-562.cnf.xz,TIMEOUT,4007.41,TIMEOUT,TIMEOUT
6d2aca2a97e05cc7e5ee613891454730-mrpp_8x8#18_12.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
420e691ef43275de7810ce0c481e9547-gto_p50c314_1.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
a79e49e310a939230ea3d77fc1fb4c79-md5_48_3.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3c89ee95f1c8bfa292f69bb72f045a95-Schur_160_5_d26.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
f1d73ef92e8bf364d443b85fff72447a-rnd_100_32_s.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
52f0758b80219735043645a58651e0d3-fixedbandwidth-eq-32_shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e255e4fca66114c17f09043764e016d4-c8idw_s.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4928fcd2037af940ef3bbeb9fad2754d-shift1add.25952.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ddfd170730b58b283d98518477b52fe5-combined-crypto1-wff-seed-115-wffvars-500-cryptocplx-31-overlap-2.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
dd926bb427ade42f65444c65bc7e80dc-9-4-9.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
c7eb6ef692056b7851b6f46ac16dc506-LABS_n079_goal006.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
c1c5f27a2c47486a745e7aa3516fb24d-ccp-s8-facto4.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
9c82b5ba37a92ea9156ded907b1ab588-VanDerWaerden_pd_2-3-23_507.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
907e7dc703e16ad2c7e56a33fe3b3e5f-manol-pipe-g10bid_i.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e7b868b93a16feaa7c21bf075cda87f7-Kakuro-easy-041-ext.xml.hg_4.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
7eeb8f92ff5de670175c3e624562bc79-stone-width3chain-nmarkers-17_shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
519ea88c9f43a7fed60b5d718adb4723-jgiraldezlevy.2200.9086.08.40.108.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
2a0b27b48cde394ba99cc0a0e3737fc6-mp1-Nb6T07.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
a1ec978756e656638b7e34cef5ecaf6d-quad_res_r26_m27.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4ef0f670f650cf5c27067ca5df50b7ab-instance_n8_i8_pp.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
60288b7018d18d48484e9b8e8e428031-een-tip-sat-texas-tp-5e.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
90d7e34800b9c8338d4a1bd2563ee9ec-hard-18-U-10652.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
896bbb32a4480f400a7ae4917f7ee8d6-rphp5_090_shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
86b50dbc0e6d25e78792b1ec7d8910a1-transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.020-NOTKNOWN.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
